timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,etiqueta
1759632529.8417113,-4470844,-2307832,-4899259,-4013598,-1906002,-2858382,-4314494,8388607,contraccion
1759632529.9025526,-4148976,-2030572,-4714282,-3815031,-1778062,-2613714,-4082949,8388607,contraccion
1759632529.9026906,-3841064,-1310402,-4662217,-3796849,-1726062,-2639576,-4092637,8388607,contraccion
1759632529.902819,-3486498,-379027,-4664323,-3881846,-1719497,-2813287,-4232206,8388607,contraccion
1759632529.902938,-3155066,125131,-4603242,-3865352,-1679622,-2814828,-4224345,8388607,contraccion
1759632529.9030538,-2787880,371299,-4516692,-3796315,-1623259,-2731914,-4144487,8388607,contraccion
1759632529.90317,-2428042,344685,-4390611,-3649369,-1538881,-2526442,-3959131,8388607,contraccion
1759632529.903292,-1902101,737988,-4362914,-3654806,-1514952,-2579672,-3995772,8388607,contraccion
1759632529.9034162,-1305931,1344681,-4396841,-3759402,-1537283,-2780961,-4158929,8388607,contraccion
1759632529.903533,-854268,1586118,-4429457,-3773714,-1530613,-2812350,-4182274,8388607,contraccion
1759632529.903648,-479729,1620268,-4477918,-3740281,-1509921,-2760628,-4136507,8388607,contraccion
1759632529.903763,-201122,1424014,-4524596,-3633139,-1460964,-2586415,-3987373,8388607,contraccion
1759632529.9038775,214205,1639329,-4550159,-3671600,-1472948,-2674094,-4055313,8388607,contraccion
1759632529.9040134,745039,2053516,-4587452,-3805413,-1531917,-2909911,-4246172,8388607,contraccion
1759632529.9041295,1149118,2131821,-4642927,-3852022,-1559452,-2972599,-4299729,8388607,contraccion
1759632529.904245,1445624,2033411,-4697476,-3847654,-1567566,-2946769,-4281347,8388607,contraccion
1759632529.962105,1614346,1736413,-4748198,-3767171,-1542199,-2793346,-4157672,8388607,contraccion
1759632529.9622357,1937103,1854226,-4769501,-3824601,-1574910,-2902275,-4245097,8388607,contraccion
1759632529.9623618,2356493,2180829,-4793653,-3963501,-1644350,-3148483,-4443101,8388607,contraccion
1759632529.9624865,2618356,2210446,-4832107,-4008697,-1671409,-3210394,-4497103,8388607,contraccion
1759632529.962596,2789651,2086739,-4868925,-4001500,-1675189,-3179654,-4476604,8388607,contraccion
1759632529.9627051,2854878,1785912,-4901936,-3919751,-1644247,-3020288,-4351326,8388607,contraccion
1759632529.9628136,3077581,1897214,-4903468,-3972326,-1672851,-3125030,-4434677,8388607,contraccion
1759632529.9629233,3404347,2207811,-4909894,-4102426,-1737919,-3364905,-4625363,8388607,contraccion
1759632529.9630318,3585561,2227485,-4932535,-4140752,-1759097,-3419062,-4672912,8388607,contraccion
1759632529.9631407,3676431,2094915,-4955196,-4127736,-1757089,-3379873,-4645617,8388607,contraccion
1759632529.9632487,3624438,1787449,-4976999,-4043029,-1721223,-3213221,-4514857,8388607,contraccion
1759632529.9633572,3429767,1896793,-4962432,-4093022,-1747654,-3318044,-4598111,8388607,contraccion
1759632529.9634664,3201372,2201447,-4956272,-4220858,-1812871,-3559884,-4789776,8388607,contraccion
1759632529.9635756,3138342,2210171,-4975894,-4261688,-1837066,-3615998,-4837111,8388607,contraccion
1759632529.9636843,3168498,2067700,-5003084,-4256721,-1842979,-3581356,-4810840,8388607,contraccion
1759632530.02241,3340748,1766978,-5025248,-4173053,-1808304,-3409329,-4670641,8388607,contraccion
1759632530.0225196,3249524,1940506,-4984399,-4198796,-1811580,-3491211,-4734899,8388607,contraccion
