trial_id,start_time,end_time,label
1,1764115904.1044922,1764115906.1045554,apoyo
1,1764115906.1046717,1764115908.104736,oscilacion
2,1764115910.1071818,1764115912.1072497,apoyo
2,1764115912.1072736,1764115914.107337,oscilacion
3,1764115916.1095483,1764115918.1096115,apoyo
3,1764115918.1097236,1764115920.1097858,oscilacion
4,1764115922.1123545,1764115924.1124167,apoyo
4,1764115924.112537,1764115926.1126025,oscilacion
5,1764115928.1149504,1764115930.115013,apoyo
5,1764115930.115037,1764115932.115104,oscilacion
6,1764115934.117366,1764115936.1174295,apoyo
6,1764115936.1174572,1764115938.1175241,oscilacion
7,1764115940.1197908,1764115942.1198535,apoyo
7,1764115942.1198788,1764115944.1199439,oscilacion
8,1764115946.1222367,1764115948.122301,apoyo
8,1764115948.1223283,1764115950.1223927,oscilacion
9,1764115952.1246297,1764115954.1246905,apoyo
9,1764115954.1247158,1764115956.1247802,oscilacion
10,1764115958.1269143,1764115960.126975,apoyo
10,1764115960.127095,1764115962.1271553,oscilacion
