timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1764116271.8001208,8388607,-48967,-8388608,51594,8388607,-73992,-8388608,-3299121
1764116271.8002672,8388607,-49566,-8388608,52128,8388607,-72923,-8388608,-3298556
1764116271.8003876,8388607,-50031,-8388608,51822,8388607,-72529,-8388608,-3298739
1764116271.800504,8388607,-47607,-8388608,54070,8388607,-76697,-8388608,-3298892
1764116271.8006196,8388607,-49071,-8388608,54018,8388607,-75092,-8388608,-3298454
1764116271.8007493,8388607,-48654,-8388608,55806,8388607,-75895,-8388608,-3298254
1764116271.8008707,8388607,-48581,-8388608,55340,8388607,-76064,-8388608,-3296982
1764116271.8010082,8388607,-48608,-8388608,54871,8388607,-77171,-8388608,-3296786
1764116271.8011422,8388607,-47642,-8388608,54574,8388607,-76854,-8388608,-3297849
1764116271.8012674,8388607,-47096,-8388608,54599,8388607,-76971,-8388608,-3297803
1764116271.8013823,8388607,-47521,-8388608,54118,8388607,-76045,-8388608,-3298542
1764116271.8160667,8388607,-47804,-8388608,53990,8388607,-75856,-8388608,-3299302
1764116271.8863778,8388607,-48000,-8388608,53781,8388607,-75606,-8388608,-3298871
1764116271.8865101,8388607,-47794,-8388608,53871,8388607,-75636,-8388608,-3298864
1764116271.8866346,8388607,-47721,-8388608,54218,8388607,-75884,-8388608,-3299701
1764116271.8867562,8388607,-48137,-8388608,54398,8388607,-75839,-8388608,-3300389
1764116271.8868778,8388607,-48461,-8388608,54982,8388607,-75604,-8388608,-3301205
1764116271.8870015,8388607,-48093,-8388608,56683,8388607,-76094,-8388608,-3300906
1764116271.8871262,8388607,-47906,-8388608,57046,8388607,-75837,-8388608,-3301185
1764116271.8872497,8388607,-47716,-8388608,53766,8388607,-74192,-8388608,-3301804
1764116271.887357,8388607,-46534,-8388608,55359,8388607,-75859,-8388608,-3301923
1764116271.8874633,8388607,-46153,-8388608,55879,8388607,-76074,-8388608,-3301476
1764116271.887571,8388607,-46347,-8388608,55328,8388607,-75144,-8388608,-3302087
1764116271.8876784,8388607,-45834,-8388608,55133,8388607,-75560,-8388608,-3302183
1764116271.887786,8388607,-46012,-8388608,55258,8388607,-75924,-8388608,-3300745
1764116271.8878927,8388607,-46303,-8388608,55203,8388607,-75962,-8388608,-3300827
1764116271.9024382,8388607,-46881,-8388608,54498,8388607,-74634,-8388608,-3302352
1764116271.9185271,8388607,-45441,-8388608,55650,8388607,-76820,-8388608,-3302156
1764116271.934491,8388607,-44606,-8388608,56227,8388607,-77269,-8388608,-3300967
1764116271.9626837,8388607,-44369,-8388608,56365,8388607,-76422,-8388608,-3302274
1764116271.9627912,8388607,-44957,-8388608,55730,8388607,-73829,-8388608,-3303575
1764116271.9628983,8388607,-46381,-8388608,54324,8388607,-71722,-8388608,-3304287
1764116271.9630055,8388607,-46904,-8388608,54066,8388607,-74381,-8388608,-3303946
1764116271.963113,8388607,-46069,-8388608,55043,8388607,-78122,-8388608,-3304596
1764116271.9938607,8388607,-46451,-8388608,55188,8388607,-78104,-8388608,-3305573
1764116271.993969,8388607,-46577,-8388608,55295,8388607,-78756,-8388608,-3305621
1764116271.9940765,8388607,-46187,-8388608,54223,8388607,-79646,-8388608,-3315070
1764116272.0612433,8388607,-44969,-8388608,55049,8388607,-79541,-8388608,-3315881
1764116272.0613523,8388607,-45055,-8388608,54613,8388607,-78467,-8388608,-3316914
1764116272.0614593,8388607,-44989,-8388608,54529,8388607,-78744,-8388608,-3317410
1764116272.061566,8388607,-45107,-8388608,54556,8388607,-77956,-8388608,-3318141
1764116272.0616744,8388607,-44781,-8388608,54581,8388607,-77967,-8388608,-3318260
1764116272.0617812,8388607,-44372,-8388608,54733,8388607,-78239,-8388608,-3318589
1764116272.0618877,8388607,-44183,-8388608,54723,8388607,-77800,-8388608,-3319975
1764116272.0619948,8388607,-42965,-8388608,55553,8388607,-78924,-8388608,-3320281
1764116272.0621023,8388607,-43996,-8388608,54306,8388607,-76776,-8388608,-3319944
1764116272.0622096,8388607,-43762,-8388608,54066,8388607,-76550,-8388608,-3320293
